cmtid,ctime,author_username,comment,rating_star
"2791401633","1596637076","","Tahan lamanya terjamin!. Wanginya juga oke, setelah beli ini malah penasaran sama harum parfum yang lain.. . Bakal langganan ini mah!","5"
"2227514191","1586324085","","WANGINYA ENAK BANGEETTT, bener"" unik dan kek kita pake parfum mahal gitu wkwk, wanginya bikin org notice karna beneran enak dan unik gitu.","5"
"3561639775","1607438182","i*****i","makasih banyak mimin yang baik hati, kirim kado buat temen dan ternyata dia suka banget! pengiriman cepet, packing juga aman sekali!!!💛💛","5"
"41528309861","1746756468","irgyf86","Aroma:wangi nya manisss. Durabilitas:lumayan lama. Tekstur:sesuai. . cepet bangettt pas kemaren promo, baru checkout jam 4 sore, terus jam setengah 6 udah sampee. good🔥🔥","5"
"10328347474","1671192810","u*****0","Sudah langganan beli ditoko ini . Suka bangettt sama pelayananya pengirimannya juga cepeet sekalii","5"
"3579478496","1607661414","o*****i","Packingnya juwarak. Bubble wrap berlapis2. Ngga bakalan takut pecah atau tumpah. Parfumnya manly banget. Buat kasih hadiah ke temen atau pacar bisa banget. ❤","4"
"2409630632","1589773170","neob_indonesia","Asli enak banget wangi nya dan tahan lama. Semoga selalu mempertahankan kualitas nya . Langganan nih ","5"
"2058020206","1581876687","woronurul","Pengiriman cepat, packing rapih, wanginha enak banget yg senoparty. Sukses terus onix enjoy aman and chill. Thank u","5"
"7607182236","1645969254","","Wangi:bukan maen wanginya parah sih. Ketahanan:baru di coba. Kemasan:aman pokonya","5"
"6776255868","1638410805","ayskasalsabillapuspa","Wangi:enak. . Semi bacarrat gitu ga si wkwk pertama kali nyoba. Enak baunya sih semoga awet pertama kali coba","5"
"2236902509","1586505519","barong17","sabii sih wanginya mirip banget baccarat ga neko2 lah.gua jamin orang pasti suka sama wanginya sih.harganya juga murah banget","5"
"3540425857","1607166655","doniardh","pembelian yang kedua kali, wanginya beuhh banyak yang suka, pengiriman juga cepat, mantap pokonya","5"
"3211964610","1603014218","collection__bilqis","Ini sih mewah bngttt mulai dari packingnya juga rapih bngtt aman pokoknya dan wanginya juga suka bngttt. Mantap pokoknya ","5"
"4179674961","1614574174","novenanggraini","Kemasan:MEWAH BGTTTTT. Ketahanan:dulu yg kecil si awet bgt yaa. Wangi:mantep bggtt","5"
